"Город","salary","Должность","exp","Язык.программирования"
"430","Киев",3250,"Senior QA engineer",5.5,""
"431","Харьков",750,"Junior Software Engineer",0.5,"Java"
"432","Киев",2200,"QA Tech Lead",4,""
"433","Ивано-Франковск",1850,"Senior Software Engineer",8,"Java"
"434","Киев",1100,"Software Engineer",4,"PHP"
"435","Днепр.",2200,"Senior Software Engineer",10,"C++"
"436","Винница",1500,"Верстальщик",4,""
"437","Днепр.",1500,"Software Engineer",1,"Objective-C"
"438","Киев",2800,"Software Engineer",5.5,"Objective-C"
"439","Ивано-Франковск",300,"Junior QA engineer",0,""
"440","Киев",2500,"Senior Software Engineer",4,"C#/.NET"
"441","Львов",1840,"Software Engineer",5,"C#/.NET"
"442","Днепр.",1750,"Software Engineer",6,"PHP"
"443","Харьков",2700,"System Architect",7,"C#/.NET"
"444","Винница",250,"Junior Software Engineer",1,"Objective-C"
"445","Киев",3500,"Senior Project Manager / Program Manager",3,""
"446","Киев",3000,"Senior Software Engineer",6,"Flex/Flash/AIR"
"447","Киев",2100,"Senior QA engineer",6,""
"448","Киев",900,"Верстальщик",2,""
"449","Днепр.",1400,"Senior Software Engineer",5,"Python"
"450","Киев",3300,"Senior Software Engineer",2.5,"Flex/Flash/AIR"
"451","Донецк",1800,"Senior Software Engineer",7,"Java"
"452","Киев",2400,"Team lead",8,""
"453","Львов",2100,"Senior Software Engineer",5,"C#/.NET"
"454","Львов",1200,"Бизнес-аналитик",1.5,""
"455","Киев",4000,"Senior Software Engineer",10,"Java"
"456","Киев",2700,"Software Engineer",5.5,"Java"
"457","Киев",5000,"System Architect",8,"Python"
"458","Полтава",312.5,"Системный администратор",3,""
"459","Донецк",2500,"Senior Software Engineer",7,"C#/.NET"
"460","Запорожье",625,"Junior Software Engineer",1,"PHP"
"461","Днепр.",2000,"Software Engineer",10,"C#/.NET"
"462","Донецк",375,"DBA / Администратор баз данных",10,""
"463","Киев",3500,"Senior Software Engineer",6,"Objective-C"
"464","Днепр.",2500,"QA Tech Lead",10,""
"465","Киев",700,"Junior Software Engineer",1,"C++"
"466","Харьков",2900,"QA Tech Lead",6,""
"467","Киев",2500,"Бизнес-аналитик",3.5,""
"468","Харьков",3400,"Senior Project Manager / Program Manager",5,""
"469","Киев",2600,"Senior Software Engineer",10,"PHP"
"470","Киев",1100,"Junior Software Engineer",1.5,"C#/.NET"
"471","Черновцы",800,"Software Engineer",2.5,"Java"
"472","Киев",2500,"Senior Software Engineer",8,"Ruby/Rails"
"473","Львов",437.5,"Системный администратор",4,""
"474","Харьков",2200,"Software Engineer",1.25,"Objective-C"
"475","Киев",2500,"Senior Software Engineer",6,"C#/.NET"
"476","Харьков",800,"Software Engineer",1.5,"Java"
"477","Николаев",500,"Project manager",2,""
"478","Киев",3500,"Senior Software Engineer",6.5,"Java"
"479","Киев",2100,"Верстальщик",8,""
"480","Киев",2500,"Senior Software Engineer",5,"Perl"
"481","Киев",7000,"Senior Software Engineer",8,"C++"
"482","Киев",2200,"Senior Software Engineer",7,"PHP"
"483","Киев",1687.5,"Software Engineer",3,"PHP"
"484","Днепр.",2500,"Senior Software Engineer",5.5,"C#/.NET"
"485","Киев",500,"Junior QA engineer",0.25,""
"486","Харьков",400,"Junior QA engineer",0.25,""
"487","Киев",1200,"Системный администратор",6,""
"488","Харьков",4000,"Technical Lead",8,"C#/.NET"
"489","Днепр.",1000,"Junior Software Engineer",1.5,"C#/.NET"
"490","Киев",2200,"Senior QA engineer",5.5,""
"491","Одесса",1050,"Software Engineer",3.5,"PHP"
"492","Киев",1650,"Software Engineer",4,"C#/.NET"
"493","Киев",3200,"Technical Lead",6,"JavaScript"
"494","Львов",2700,"Senior Software Engineer",4,"Java"
"495","Киев",2000,"Software Engineer",1.75,"PHP"
"496","Киев",1000,"Software Engineer",3,"Python"
"497","Киев",700,"Software Engineer",2,"Python"
"498","Днепр.",1200,"Junior Software Engineer",0.75,"Java"
"499","Киев",1500,"Верстальщик",0.5,""
"500","Киев",1750,"Software Engineer",4,"PHP"
