"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"119","Киев",2000,-300,"Дизайнер",10,1.5,"","",28,"мужской","Незаконченное высшее","False","выше среднего","до 1000 человек","Продуктовая","Веб-разработка,Мультимедиа"
"120","Донецк",1700,150,"Software Engineer",5,5,"Flex/Flash/AIR","",35,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Desktop Applications,Финансы и банки"
"121","Львов",1200,500,"Software Engineer",4,0,"C#/.NET","",28,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"122","Харьков",2600,500,"Senior Software Engineer",4,2,"Java","",25,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"123","Днепр.",2220,390,"Software Engineer",3,1.75,"C#/.NET","",24,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"124","Одесса",2500,0,"Senior Software Engineer",4,1.5,"C#/.NET","",25,"мужской","Высшее","False","продвинутый","до 200 человек","Аутсорсинговая","Веб-разработка"
"125","Харьков",2000,300,"Дизайнер",7,1,"","",24,"мужской","Незаконченное высшее","False","выше среднего","до 1000 человек","Продуктовая","Gamedev,Мультимедиа"
"126","Киев",2000,0,"DBA / Администратор баз данных",4,0,"","",26,"женский","Высшее","False","ниже среднего","до 200 человек","Аутсорсинговая","Финансы и банки"
"127","Киев",3000,0,"Senior Software Engineer",5,0.5,"Objective-C","",27,"мужской","Незаконченное высшее","False","ниже среднего","до 10 человек","Стартап","iOS"
"128","Харьков",5000,0,"Senior Project Manager / Program Manager",6.5,9.5,"","",30,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Другое"
"129","Киев",875,175,"Software Engineer",2,2,"Java","",26,"мужской","Высшее","False","средний","свыше 1000 человек","Продуктовая","Android"
"130","Киев",3075,300,"Software Engineer",7,5,"Java","",28,"мужской","Высшее","False","продвинутый","до 10 человек","Продуктовая","Корпоративные системы,Другое"
"131","Киев",3500,0,"Project manager",1,1,"","",27,"женский","Высшее","False","продвинутый","до 200 человек","Продуктовая","iOS,Корпоративные системы"
"132","Харьков",3900,900,"Senior Software Engineer",7,0,"C#/.NET","",27,"мужской","Высшее","False","выше среднего","до 10 человек","Другая","Веб-разработка,Корпоративные системы"
"133","Киев",4000,0,"Technical Lead",8.5,2.5,"C#/.NET","",29,"мужской","Высшее","False","продвинутый","до 50 человек","Продуктовая","Desktop Applications"
"134","Львов",1500,400,"Technical Lead",3,3,"Objective-C","",25,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","iOS"
"135","Одесса",3500,500,"Project manager",7,1.5,"","",36,"мужской","Кандидат","False","средний","до 200 человек","Аутсорсинговая","Android,iOS"
"136","Киев",3500,750,"Project manager",3.5,3.5,"","",26,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","iOS,Веб-разработка"
"137","Киев",3950,400,"Senior QA engineer",10,2,"","Automation QA",39,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Embedded,Другое"
"138","Харьков",2300,0,"Software Engineer",3,1,"C#/.NET","",24,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка"
"139","Запорожье",300,-50,"Junior Software Engineer",1.5,1.5,"C#/.NET","",22,"мужской","Два высших","False","выше среднего","до 10 человек","Продуктовая","Desktop Applications"
"140","Киев",2200,0,"Software Engineer",8,0.5,"Flex/Flash/AIR","",29,"мужской","Высшее","False","элементарный","свыше 1000 человек","Аутсорсинговая","Desktop Applications"
"141","Черкассы",400,100,"Junior QA engineer",1,1,"","General QA",24,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Android,Веб-разработка"
"142","Львов",1000,300,"Junior Software Engineer",0,0,"Objective-C","",22,"мужской","Высшее","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","iOS"
"143","Киев",1400,200,"QA engineer",0,0,"","Automation QA",24,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Телекоммуникации"
"144","Киев",3000,600,"Technical Lead",4,1,"Other","",27,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Desktop Applications,Корпоративные системы"
"145","Харьков",1360,-100,"Software Engineer",6,2,"C#/.NET","",26,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"146","Харьков",3500,500,"Team lead",8.5,8.5,"","",32,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Другое"
"147","Киев",2200,200,"Software Engineer",3.5,1.75,"Java","",24,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","eCommerce,Корпоративные системы"
"148","Харьков",1500,300,"QA engineer",3,2,"","General QA",35,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"149","Харьков",1000,300,"HR",2,1,"","",23,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая",""
"150","Сумы",700,325,"Software Engineer",2,0.25,"PHP","",23,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"151","Днепр.",3700,200,"Technical Lead",8,1.5,"C#/.NET","",32,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"152","Симферополь",3000,1000,"Senior Software Engineer",10,3,"PHP","",29,"мужской","Незаконченное высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"153","Киев",2600,0,"Software Engineer",3,3,"Java","",30,"мужской","Два высших","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"154","Киев",3000,3000,"Software Engineer",4,1,"Objective-C","",26,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"155","Киев",3000,0,"Senior Software Engineer",6,0.5,"PHP","",27,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"156","Харьков",350,50,"Junior QA engineer",0.25,0.25,"","Manual QA",28,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Android,iOS"
"157","Киев",3990,2400,"Software Engineer",10,0,"JavaScript","",28,"мужской","Незаконченное высшее","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"158","Киев",1200,400,"QA engineer",2,1.25,"","General QA",22,"мужской","Высшее","False","ниже среднего","до 1000 человек","Продуктовая","Веб-разработка,Gamedev"
"159","Киев",3500,500,"Scrum Master",4,2,"","",27,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"160","Одесса",2750,250,"Project manager",8,2,"","",32,"мужской","Высшее","False","ниже среднего","свыше 1000 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"161","Львов",650,0,"Junior Software Engineer",0.5,0.5,"Ruby/Rails","",22,"мужской","Незаконченное высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
